id;region;target;policy;variable;period;value
448;JPN;2°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;34,1677125
450;JPN;2°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;33,4738375
452;JPN;2°C, red. CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;50,4615625
454;JPN;2°C, red. CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;46,728025
456;JPN;2°C, red. CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;44,29375
458;JPN;2°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;40,87385
460;JPN;1.5°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;46,5307875
462;JPN;1.5°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;43,951725
464;JPN;1.5°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;42,1600875
466;JPN;1.5°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;38,7034625
468;JPN;1.5°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;51,524525
106;RUS;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);baseline;11,1706
288;RUS;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;10,74805
290;RUS;2°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;17,72505
292;RUS;2°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;24,4965
294;RUS;2°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;28,7382
296;RUS;2°C, red. CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;10,74805
298;RUS;2°C, red. CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;17,72505
300;RUS;2°C, red. CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;24,4965
302;RUS;2°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;34,243475
304;RUS;1.5°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;10,74805
306;RUS;1.5°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;17,72505
308;RUS;1.5°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;24,4965
310;RUS;1.5°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;34,682025
312;RUS;1.5°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;45,51955
470;RUS;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;38,6724875
472;RUS;2°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;36,0156125
474;RUS;2°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;32,7315875
476;RUS;2°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;32,7442875
478;RUS;2°C, red. CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;48,1062625
480;RUS;2°C, red. CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;42,726225
482;RUS;2°C, red. CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;38,2340125
484;RUS;2°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;34,1784625
486;RUS;1.5°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;45,9648375
488;RUS;1.5°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;41,9006375
